name,Water_Absorption_%,Hardness,Thermal_Conductivity_(mW/m.K),Plasticizer,Polymer_1,Toughener_1,Colorant,Stabilizer_1,Flame_retardant_1,Antioxidant,Metal_powder_1,Metal_powder_2,Metal_powder_3,Antistatic,Polymer_2,Stabilizer_2,Toughener_2,Clarifier_1,Clarifier_2,Clarifier_3,Polymer_3,Polymer_4,UV_absorber_1,UV_absorber_2,Flame_retardant_2,Polymer_5,Stabilizer_3,Filler_1,Filler_2,Toughener_3,Filler_3
Formula_40,2.208816771,100.1811973,13.99633366,0.008138554,0.26935272,0,0.003515132,0,0.154595335,0.009515133,0.41892266,0,6.73E-06,0,0.070839736,0.002511058,0.008572674,0,0,0,0,0.049515132,0,0,0,0,0.004515132,0,0,0,0
Formula_54,2.211850806,95.27963155,12.00708944,0.007047344,0.317071971,0,0.002881056,0,0.148951438,0.008881056,0.408609358,0,0.000529716,0,0.002918274,0,0.000347677,0,0,0,0,0.098881056,0,0,0,0,0.003881056,0,0,0,0
Formula_69,1.785614874,75.20429713,5.769017431,0.000507401,0.512391934,0,0.001172128,0,0.142807741,0.007172127,0.286604412,0,0,0,0,0,0,0,0,0,0,0.047172128,0,0,0,0,0.002172128,0,0,0,0
Formula_17,1.45957184,81.0825963,14.18951074,0,0.437069314,0,0,0,0.134502693,0,0.389898213,0,0,0,0,0,0,0,0,0,0,0.03852978,0,0,0,0,0,0,0,0,0
Formula_47,1.56215601,83.79214451,9.523598644,0,0.317091178,0,0.00119315,0,0.144138668,0.007193151,0.406929387,0,0,0,0.024068165,0,0,0,0,0,0,0.09719315,0,0,0,0,0.00219315,0,0,0,0
Formula_90,2.110693518,90.4590897,10.9073183,0.01332743,0.333789261,0,0.003068609,0,0.148021271,0,0.395829732,0,0,0.001058544,0.001767935,0,0,0,0,0,0.099068609,0,0,0,0,0,0.004068609,0,0,0,0
Formula_10,3.003674102,152.6231553,99.96396214,0.059271537,0.687518141,0.039006808,0.001006809,0.004006808,0.17173037,0.009006809,0.00061926,0,0.005105167,0.000586123,0.022142168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_18,1.968463442,129.7583709,64.81433247,0.013389305,0.802134668,0.030223898,0,0,0.154028231,0.000223899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_77,3.961537769,163.2770898,78.1881274,0.077687252,0.599631108,0.039476811,0.001476811,0.004476811,0.185116217,0.009476811,0.016841287,0,0.000602497,0,0.032486338,0.00228025,0.010970994,0,0,0.019476811,0,0,0,0,0,0,0,0,0,0,0
Formula_59,2.832883267,65.04407011,17.18178831,0.055354631,0.381970048,0,0,0,0.132969722,0,0.403872874,0,0,0,0,0,0.025832724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_92,2.513752338,55.60386615,21.38914898,0.081929599,0.287826272,0,0.001671228,0.004671228,0.146409628,0.009671227,0.403113497,0,0.00655643,0,0.004612103,5.02E-05,0.053488557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_55,2.20979741,42.74293969,10.60603636,0.101938096,0.181835243,0,0.00131183,0.004311831,0.200516893,0.00931183,0.409151362,0,0,0,0.028399112,0,0.063223802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_8,1.989199486,102.6475933,1.593084798,0.013361112,0.776934017,0,0.001044097,0.004044097,0.162124853,0,0,0.005642781,0,0,0.029677778,0.001119866,0.0060514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_74,2.153920366,118.2160624,29.77118405,0.02464146,0.596392148,0,0.001858684,0.004858684,0.170098288,0,0.000960755,0,0.014737121,0.001400057,0.161623387,0.004080865,0.019348552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_88,1.502494721,101.688161,20.90939222,0,0.662870464,0,0.001891765,0.004891765,0.160789534,0,0.034800186,0,0.010150446,0.002992826,0.114565836,0.00594605,0.001101127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_39,1.488513716,115.3018269,10.84742918,0,0.586958338,0,0,0,0.150196737,0,0,0.006260236,0,0,0.25383742,0.00274727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_58,1.741956219,110.9820048,1.467591023,0,0.581606394,0,0,0.00239003,0.152686492,0,0,0.025494538,0,0,0.232667512,0.005155035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_61,2.194054294,131.1741492,10.24771719,0.001109689,0.67497174,0,0.000215743,0.003215743,0.179742136,0,0,0.014125643,0,0,0.089625753,0.006005896,0.030987657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_48,1.201420989,109.1003564,12.56425804,0,0.69148292,0,0,0.001345944,0.151173475,0,0.003559677,0.027959648,0,0,0.121467018,0.003011319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_38,2.911926215,130.2215397,29.74759393,0.043336048,0.580433599,0,0.001851616,0.004851616,0.171998329,0,0.017346719,0.007251105,0.01190284,0,0.125547655,0.010161381,0.025319091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_82,2.769976915,119.2868191,7.952685039,0.059112425,0.619626956,0,0.001863789,0.00486379,0.178280053,0,0.002371155,0,0.001972562,0,0.088706617,0.005839695,0.037362958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_6,3.777199742,131.5053866,2.533703714,0.068680756,0.584690439,0,0,0.002700996,0.186268355,0,0,0.002720675,0,0,0.095886801,0.003968987,0.052381995,0,0.002700996,0,0,0,0,0,0,0,0,0,0,0,0
Formula_97,3.080493279,137.6479523,28.73800373,0.055227038,0.564246437,0,0.001383229,0.004383229,0.175627324,0,0,0,0.004691071,0,0.147490923,0.006510849,0.033056672,0,0.007383228,0,0,0,0,0,0,0,0,0,0,0,0
Formula_41,3.586335316,130.8161564,1.825484972,0.059571964,0.663455438,0,0.001368248,0.004368249,0.180724821,0,0.019656037,0.00565893,0,0.003571313,0.017340697,0.002847245,0.041437059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_37,3.449756472,137.4673341,3.303513591,0.049772733,0.618178157,0,0.001629294,0.004629294,0.177063,0,0.005453208,0,0,0.002484022,0.100307291,0.00634591,0.034137093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_65,3.048539112,135.7247558,0.419223002,0.045622796,0.5631118,0,0.001447263,0.004447263,0.176087195,0,0.003788714,0.007212541,0,9.75E-05,0.157178515,0.008903358,0.032103084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_68,3.141855474,138.4712945,7.662768344,0.054594929,0.607886038,0,0.000963534,0.003963534,0.180529963,0,0,0.003726402,0,0,0.100642343,0.007108179,0.040585077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_43,2.682535572,113.6132043,20.69893937,0.05082919,0.673395635,0,0.002,0.005,0.174424656,7.57E-10,0.008175767,0.002278573,0.00992492,0.000936684,0.037497211,0.005428848,0.030108516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_27,3.191255996,132.8281171,1.722444521,0.061494192,0.570498085,0,0.000703175,0.003703175,0.178637059,0,0,7.59E-05,0,0,0.141512536,0.004306752,0.039069171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_85,2.683386915,137.8299929,8.066441618,0.02853903,0.599974338,0,0.000662144,0.003662144,0.175138088,0,0,0.011852741,0,0,0.145306324,0.006509649,0.028355541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_32,2.85739516,138.1995244,27.39958383,0.049051261,0.610419806,0,0.001774106,0.004774106,0.181347082,0,0.008040174,0.001446808,0.012958279,0,0.082055239,0.00778671,0.040346429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_49,2.432261782,107.3821252,21.89563338,0.034544608,0.566710512,0,0.001981913,0.004981913,0.176831454,0,0.071431271,0.00198015,0.010347878,0,0.093714203,0.006459425,0.031016674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_94,3.307302477,139.2620338,2.316375684,0.064697698,0.593311381,0,0.000718287,0.003718287,0.182762788,0,0,0.007257208,0,0,0.092830396,0.005204063,0.045781607,0.003718287,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_20,2.749743846,134.3207246,38.45632423,0.052201088,0.680851167,0,0.000547967,0.003547968,0.170772857,0,0,0,0.007257382,0.000253899,0.049229658,0.002962557,0.025827489,0.006547968,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_24,3.961540793,139.3885607,7.624408635,0.078075299,0.570458615,0,0.001502066,0.004502065,0.188042613,0,0,0,0.000517693,0.001499828,0.092504233,0.007489161,0.055408427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_19,2.761592442,123.4662279,18.08529152,0.044172167,0.661855636,1.53E-10,0.002,0.005,0.172407296,0,0.000203997,3.61E-05,0.007668078,0.005754867,0.069821007,0.005107833,0.025972972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_52,4.463651931,149.7750567,1.047387781,0.093318692,0.528810203,0,0.001111022,0.004111021,0.197098082,0,0,0.00209139,0,0.012506382,0.080327862,0.008832454,0.071792892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_5,2.960187505,126.6007502,17.25392284,0.050075165,0.622345236,0,0.002,0.005,0.176166407,1.20E-09,0.007007371,0.002156272,0.006875888,0.013271921,0.075691327,0.00681494,0.032595472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_35,4.048072793,147.4149857,1.68080615,0.072603156,0.573468617,0,0,0.002454551,0.183800874,0,0,0.002948639,0,0.020130356,0.090390279,0.004704726,0.049498802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_84,3.874941987,145.7701969,5.133083204,0.076214746,0.511473948,0,0.001868756,0.004868756,0.183150638,0,0.00932271,0.001174059,0,0.013507091,0.141982362,0.008921023,0.047515911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_34,3.533415424,142.4227647,19.10567452,0.090025645,0.664477787,0,0.000936472,0.003936472,0.183100906,0,0.004990408,0,0.007419441,0,0,0.006414884,0.038697985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_79,1.835707449,120.6565242,17.53752517,0,0.778341555,0,0,0,0.160579476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061078969,0
Formula_93,3.659977673,144.2579042,4.916094943,0.028550777,0.66687922,0,0,0.001627145,0.185893792,0,0,0,0,0,0,0.0045742,0.04584772,0,0,0,0,0,0,0,0,0,0,0,0.066627145,0,0
Formula_87,2.987355313,142.3819709,7.87144693,0,0.613369344,0,0.001471291,0.004471291,0.177772101,0,0,0.003433228,0.000342641,0,0.0949004,0.008300513,0.026467899,0,0,0,0,0,0,0,0,0,0,0.069471291,0,0,0
Formula_28,1.577956528,116.0692886,16.58075929,0,0.782295857,0,0,0,0.147121725,0,0,0,0,0,0.013428726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057153692,0
Formula_64,3.994675661,144.2721703,5.859455013,0.039396929,0.533280583,0,0,0.004955218,0.191134497,0.009955217,0.012383343,0.001360635,0,0.003875954,0.069143987,0.011260663,0.053297756,0,0,0,0,0,0,0,0,0,0,0,0,0.069955218,0
Formula_16,1.700727948,121.9937132,20.60712831,0,0.727032467,0,0,5.66E-05,0.161280542,0.005056638,0,0.004344215,0.0041424,0,0.03158855,0.001441908,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06505664,0
Formula_45,2.86395606,130.2519156,12.05421253,0.066458885,0.660699803,0.029454211,0.00145421,0.004454211,0.178397975,0.009454209,0.009407841,0,0.004858114,0,0.028853511,0.006507031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_78,2.383988293,127.2983055,32.51148071,0.045546368,0.681146584,0.027684653,0,0.002684653,0.163567022,0.027684652,0.010703774,0,0.014653967,0,0.022537446,0.003790882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_36,2.778520867,141.744158,34.375229,0,0.711097442,0.024879314,0,0,0.169691134,0.014879312,0,0,0.012811096,0,0,0.001762388,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064879314,0
Formula_53,2.841649998,134.9828238,4.574484485,0.065861877,0.689236759,0.026884816,0,0.001884816,0.171704793,0.016884818,0,0.014273228,0,0,0.00837572,0.004893173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_56,4.30152846,139.8215881,0.681356393,0.167242068,0.487940936,0.027066613,0,0.002066613,0.202637981,0.017066615,0,0.006810486,0,0,0.070948414,0.009434032,0.008786241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_9,3.327068786,123.7090987,18.94605677,0,0.709656421,0.019749358,0,0,0.171005517,0.009749357,0,0,9.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089749358,0
Formula_14,3.616762681,135.8136411,12.11223412,0.017541623,0.627438594,0.024554864,0,0,0.19674422,0.014554863,0.002626365,0,0.000314583,0,0,0,0.001670024,0,0,0,0,0,0,0,0,0,0,0.114554864,0,0,0
Formula_33,3.535619619,141.9114262,0.47294122,0.005340992,0.54911273,0.029670792,0.001670791,0.004670791,0.203511621,0.01967079,0.002551497,0.00193742,0,0.001141653,0.046109663,0.008892609,0.006377068,0,0,0,0,0,0,0,0,0,0,0.069670791,0,0,0.049670791
Formula_25,2.740762952,126.2302938,19.0093922,0.09599313,0.575482389,0.038417167,0.000417167,0.003417167,0.211055103,0.019417168,0.007709692,0.00709712,0.007689377,0,0.022409072,0.01089545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_29,3.487706994,134.9292453,1.063998052,0.003628809,0.641301294,0.032880976,0.000880976,0.003880977,0.178663678,0.022880976,0,0.002672966,0,0.001112831,0.02377538,0.00744016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080880976,0
Formula_51,2.393032475,122.9940802,3.951626233,0.041167947,0.715086804,0.031076889,0,0.002076889,0.177448831,0.021076888,0,0.006794831,0,0,0.004087443,0.001183478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula_73,2.858545668,122.5980055,18.40501705,0,0.691779109,0,0,0,0.189481856,0.007829818,0,0,0,0,0,0,0.020079401,0,0,0,0,0,0,0,0,0,0,0,0,0.090829816,0
Formula_26,1.647652125,87.89901228,23.58573526,0.148401045,0.464302809,0,0.001402701,0,0.153252951,0.012402701,0.179908363,0,0.008738129,0.00270177,0.005933657,0.01654204,0.001011134,0,0,0,0,0,0,0,0,0,0.0054027,0,0,0,0
